root_lot_id	lot_id	wafer_id	tkin_time	tkout_time	line_id	part_id	process_id	step_seq	step_id	lot_type	area	bay	eqp_model	eqp_type	eqp_id	unit_id	chamber_id	ppid	batch_id	reticle_id	foup_id	pos	lot_tkout_time	wf_tkin_time	wf_tkout_time	curr_lot_id	owning_line_id	last_flag	rework_main_step	rework_cnt	ein_ecn_no	apc_apply_yn	sendfab_type	load_port	sleuth_order	keystep_bkm	last_update_time
WEG094	WEG094.1	16	2019-09-01 3:10	2019-09-01 3:27	KFMA	K4B2G1646F-EAF	KETZ	TZ125010	TZ125010VE	PP	CLN	B06	W_SMS_H8	WETSTN	WWPAA6	[NULL]	1	RSBN100_SP	WWPAA644720190901030650879	[NULL]	150614S	1	2019-09-01 3:27	[NULL]	[NULL]	WEG094.1	KFBE	Y	-	0	[NULL]	-	OLD	WWPAA6_B1	0	[NULL]	2019-09-01 3:29
JBH757	JBH757.1	8	2019-09-01 2:59	2019-09-01 3:08	KFBJ	K4A8G085WC-JAF	KJLB	LB036890	LB036890	PP	CLN	F26	W_SMS_H8CF	WETSTN	WWTJF02	[NULL]	1	MS3HF_A_SC10_E2__12345678(58.0)	WWTJF0288120190901025658143	[NULL]	PJ06254	1	2019-09-01 3:08	[NULL]	[NULL]	JBH757.1	KFBJ	Y	[NULL]	0	[NULL]	Y	-	WWTJF02_B1	0	[NULL]	2019-09-01 3:10
JCG777	JCG777.1	13	2019-09-01 3:00	2019-09-01 3:18	KFBJ	K4E8E324EC-JAB	KJLR	LR120210	LR120210	PP	CLN	M08	W_SMS_H8DF	WETSTN	WWTJMT1	[NULL]	5	MSB3HF30_3DSP2SZ_A__12345678(75.388)	WWTJMT178920190901024847219	[NULL]	PMG11731	1	2019-09-01 3:18	[NULL]	[NULL]	JCG777.1	KFBJ	Y	-	0	[NULL]	Y	-	WWTJMT1_B1	0	[NULL]	2019-09-01 3:19
E8F254	E8F254.1	2	2019-09-01 2:31	2019-09-01 3:13	KFE3	K4A4G085WE-EDC	KENE	NE175600	NE175600VE	PP	METAL	B33	ENDURA_2_M2	MMETAL	SAM314	[NULL]	A	D2STIAL	SAM31499620190901022931717	[NULL]	M11G3024	1	2019-09-01 3:13	[NULL]	[NULL]	E8F254.1	KFBE	Y	-	0	[NULL]	Y	OLD	SAM314_B1	0	[NULL]	2019-09-01 3:13
PGGD80	PGGD80.1	18	2019-09-01 2:15	2019-09-01 2:34	PFBP	K4U8E164AA-PAB	PPKA	KA140800	KA140800	PP	PHOTO	69	SO12_6C_H	PSPINF	PSYP8H8	[NULL]	E	9AC	PSYP8H892720190901021133032	[NULL]	PPCC2197	1	2019-09-01 2:34	[NULL]	[NULL]	PGGD80.1	PFBP	Y	-	0	ECO190319A09-3	Y	-	PSYP8H8_B4	0	[NULL]	2019-09-01 2:36
G6F340	G6F340.1	14	2019-08-31 22:29	2019-09-01 3:18	KFBG	K4Z41165BC-GDF	KGLX	LX140200	LX140200	PP	ETCH	M05	NXD	EPOLOX	ESOGA6	[NULL]	2	PAS140OXD	ESOGA667220190831222756522	[NULL]	PMG1958	1	2019-09-01 3:18	[NULL]	[NULL]	G6F340.1	KFBG	Y	RWDI200R07	0	[NULL]	Y	-	ESOGA6_B3	0	[NULL]	2019-09-01 3:19
JCHC94	JCHC94.1	7	2019-09-01 2:50	2019-09-01 2:59	KFBJ	K4E8E324EC-JAB	KJLR	LR013160	LR013160	PP	CLN	F32	W_SMS_H8CS	WETSTN	WWHJFB3	[NULL]	2	S6HS15_SC15	WWHJFB355720190901024511103	[NULL]	PJ04711	1	2019-09-01 2:59	[NULL]	[NULL]	JCHC94.1	KFBJ	Y	[NULL]	0	[NULL]	-	-	WWHJFB3_B2	0	[NULL]	2019-09-01 3:00
HYG3K1	HYG3K1.1	10	2019-09-01 3:25	2019-09-01 4:11	KFBH	K9AHGD8J0M-HXT	KHFY	FY111560	FY111560	PP	METAL	J10	ALTUS_BW	MMETAL	SLWHJ22	[NULL]	B	V6MCSLW_R2	SLWHJ2229920190901032202889	[NULL]	PMH03655	1	2019-09-01 4:11	[NULL]	[NULL]	HYG3K1.1	KFBH	Y	[NULL]	0	[NULL]	Y	-	SLWHJ22_B1	0	[NULL]	2019-09-01 4:13
CKHK66	CKHK66.1	6	2019-08-31 23:22	2019-09-01 0:14	KFBC	K9GDGD8U0D-CXT	KCAK	AK065760	AK065760	PP	CMP	B41	REFLEXION	CMPOXD	CAOC16	[NULL]	3	AKQP	CAOC1689620190831231901310	[NULL]	125937S	1	2019-09-01 0:14	[NULL]	[NULL]	CKHK66.1	KFBC	Y	[NULL]	0	[NULL]	-	-	CAOC16_B3	0	[NULL]	2019-09-01 0:16
PTHN97	PTHN97.1	12	2019-09-01 0:11	2019-09-01 1:16	PFBP	K9AFGD8J0B-PXT	PPIT	IT080160	IT080160	PP	IMP	67	VIISTA_HCP	IIMPHC	IVHP705	[NULL]	1	AS.40K3E15	IVHP70554020190901000817766	[NULL]	PCP00701	1	2019-09-01 1:16	[NULL]	[NULL]	PTHN97.1	PFBP	Y	[NULL]	0	[NULL]	-	-	IVHP705_B2	0	[NULL]	2019-09-01 1:17
GEH763	GEH763.1	3	2019-09-01 1:03	2019-09-01 1:11	KFBG	K4A8G085WB-GAF	KGNB	NB056130	NB056130	PP	CLN	V04	W_B2TEL_H12FDI	WETSTN	WTOGQB1	[NULL]	D	MDSP300_30S	WTOGQB115720190901010114332	[NULL]	PMG08241	1	2019-09-01 1:11	[NULL]	[NULL]	GEH763.1	KFBG	Y	[NULL]	0	[NULL]	-	-	WTOGQB1_B1	0	[NULL]	2019-09-01 1:13
