root_lot_id	lot_id	wafer_id	tkin_time	tkout_time	line_id	part_id	process_id	step_seq	lot_type	eqp_model	eqp_id	flat_zone	good_die_qty	if_ver	laser_eqp	last_flag	low_yield_limit	nce_code	net_die_qty	one_step_flag	operator_id	over_drive	para	pgm_id	pgm_mode	probe_card_id	probe_type	rework_cnt	scspgm	shot	simax_step	owning_line_id	comments	dev_den_ver	test_die_qty	test_lot_id	test_type	tier	chip_x_max_pos	chip_x_min_pos	chip_x_size	chip_y_max_pos	chip_y_min_pos	chip_y_size	last_update_time	item_id	subitem_id	bin_value	test_wafer_id
PGF582	PGF582	24	2019-09-01 6:36	2019-09-01 6:44	PFBP	K4U8E164AA-PAR	PPKA	EDS_I	PP	MT6133E	TP4101	5	1,764	CI.37	-	Y	846	NORM	1,880	N	0	0330U	3072	XYFKABPV23	COM	M1880S8911	WINAS	1	scs73kab00y00	1	W020	PFBP	LP4_8G_KAP	LPDDR4_8G_KAP	1,880	PGF582	NORMAL	-0.1	68	1	4,276.00	65	30	8,034.00	2019-09-01 8:10	{BIN0002,BIN0002,BIN0007,BIN0007,BIN0009,BIN0009,BIN0015,BIN0015,BIN0016,BIN0016,BIN0031,BIN0031,BIN0095,BIN0095,BIN0096,BIN0096,BIN0109,BIN0109,BIN0205,BIN0205,BIN0208,BIN0208,BIN0209,BIN0209,BIN0238,BIN0238,BIN0243,BIN0243,BIN0251,BIN0251,BIN0252,BIN0252,BIN0285,BIN0285,BIN0286,BIN0286,BIN0287,BIN0287,BIN0288,BIN0288,BIN0299,BIN0299,BIN0314,BIN0314,BIN0367,BIN0367,BIN0372,BIN0372,BIN0374,BIN0374,BIN0377,BIN0377,BIN0380,BIN0380,BIN0381,BIN0381,BIN0386,BIN0386,BIN0388,BIN0388,BIN0389,BIN0389,BIN0398,BIN0398,BIN0399,BIN0399,BIN0583,BIN0583,BIN0588,BIN0588,BIN0592,BIN0592,BIN0593,BIN0593,BIN0797,BIN0797,BIN0798,BIN0798,BIN0799,BIN0799,BIN0895,BIN0895,BIN0896,BIN0896,BIN0901,BIN0901,BIN0902,BIN0902,BIN0903,BIN0903,BIN0904,BIN0904,BIN0907,BIN0907,BIN0927,BIN0927,BIN0930,BIN0930,BIN0931,BIN0931,BIN0932,BIN0932,BIN0933,BIN0933,BIN0998,BIN0998,BIN0999,BIN0999,BIN1043,BIN1043,BIN1047,BIN1047,BIN1049,BIN1049,YIELD,YIELD,YIELD_C20,YIELD_C20,YIELD_C80,YIELD_C80,YIELD_E1,YIELD_E1,YIELD_E20,YIELD_E20,YIELD_EDGE,YIELD_EDGE,YIELD_INNER,YIELD_INNER,YIELD_RANDOM,YIELD_SYSTEM}	{COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,PERCENT,PERCENT}	{1764,93.83,7,.372,12,.638,28,1.489,30,1.596,451,23.989,13,.691,1222,65,1,.053,2,.106,1,.053,5,.266,1,.053,2,.106,1,.053,2,.106,19,1.011,1,.053,18,.957,2,.106,3,.16,1,.053,1,.053,2,.106,1,.053,3,.16,15,.798,12,.638,4,.213,6,.319,6,.319,1,.053,2,.106,2,.106,1,.053,1,.053,1,.053,8,.426,98,5.213,44,2.34,100,5.319,99.7,5.303,70,3.723,27,1.436,49,2.606,9,.479,15,.798,21,1.117,16,.851,1,.053,1,.053,1,.053,1,.053,1,.053,96,5.106,36,1.915,816,43.404,1764,93.83,75,93.75,1201,9.68548387096774193548387096774193548387E01,97,6.46666666666666666666666666666666666667E01,391,9.53658536585365853658536585365853658537E01,488,8.71428571428571428571428571428571428571E01,1276,9.66666666666666666666666666666666666667E01,94.88,98.893}	24
HYG0G2	HYG0G2	11	2019-09-01 13:53	2019-09-01 14:35	KFBH	K9AHGY8J0M-HDY	KHFY	EDS_B	PP	AL6050	TD1471	5	482	RQ.88	-	Y	242	NORM	484	N	0	210U	1024	X9AHGY8J0MHDTTW00	COM	Q484S7829R	P-12XL	1	[NULL]	1	F0033	KFBH	HGM50T_A.00	NAND_512GTLC_M	484	HYG0G2	NORMAL	-0.1	43	22	12,725.00	57	30	10,100.00	2019-09-01 14:36	{BIN0001,BIN0001,BIN0131,BIN0131,BIN0141,BIN0141,BIN0998,BIN0998,BIN0999,BIN0999,BIN1043,BIN1043,BIN1047,BIN1047,BIN1049,BIN1049,MLC_PASS,SLC_PASS,YIELD,YIELD,YIELD_C20,YIELD_C20,YIELD_C80,YIELD_C80,YIELD_E1,YIELD_E1,YIELD_E20,YIELD_E20,YIELD_EDGE,YIELD_EDGE,YIELD_INNER,YIELD_INNER,YIELD_RANDOM,YIELD_SYSTEM}	{COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,PERCENT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,COUNT,PERCENT,PERCENT,PERCENT}	{482,99.587,1,.207,1,.207,1,.207,1,.207,256,52.893,3,.62,3,.62,100,99.587,482,99.587,20,100,328,100,66,9.70588235294117647058823529411764705882E01,68,100,134,9.85294117647058823529411764705882352941E01,348,100,99.68,99.907}	11
